Country,Year,Population,Income,Energy
Bahrain,2004,889000,47500,11700
Bahrain,2005,958000,46900,11600
Bahrain,2006,1040000,47000,11200
Bahrain,2007,1110000,46400,11300
Bahrain,2008,1190000,44800,10300
Bahrain,2009,1240000,44600,10200
Bahrain,2010,1280000,44200,9910
Bolivia,1970,4580000,4250,223
Bolivia,1971,4680000,4370,241
Bolivia,1972,4790000,4580,249
Bolivia,1973,4890000,4720,261
Bolivia,1974,5000000,4930,296
Bolivia,1975,5110000,5210,317
Bolivia,1976,5230000,5320,332
Bolivia,1977,5340000,5390,352
Bolivia,1978,5460000,5290,379
Bolivia,1979,5580000,5150,438
Bolivia,1980,5700000,5120,450
Bolivia,1981,5810000,4840,464
Bolivia,1982,5930000,4560,431
Bolivia,1983,6050000,4550,422
Bolivia,1984,6180000,4460,408
Bolivia,1985,6310000,4260,378
Bolivia,1986,6440000,4310,343
Bolivia,1987,6580000,4400,350
Bolivia,1988,6720000,4450,366
Bolivia,1989,6860000,4590,380
Bolivia,1990,7010000,4730,384
Bolivia,1991,7160000,4710,398
Bolivia,1992,7310000,4810,417
Bolivia,1993,7470000,4930,449
Bolivia,1994,7620000,5050,494
Bolivia,1995,7780000,5160,520
Bolivia,1996,7940000,5310,556
Bolivia,1997,8100000,5470,551
Bolivia,1998,8260000,5390,531
Bolivia,1999,8420000,5420,583
Bolivia,2000,8580000,5400,445
Bolivia,2001,8740000,5430,523
Bolivia,2002,8910000,5480,534
Bolivia,2003,9070000,5610,525
Bolivia,2004,9230000,5750,563
Bolivia,2005,9400000,5920,692
Bolivia,2006,9560000,6090,554
Bolivia,2007,9720000,6350,579
Bolivia,2008,9880000,6460,594
Bolivia,2009,10000000,6610,636
Bolivia,2010,10200000,6850,661
Brazil,1970,97500000,6130,716
Brazil,1971,99900000,6720,749
Brazil,1972,102000000,7500,802
Brazil,1973,105000000,7950,833
Brazil,1974,107000000,8200,850
Brazil,1975,110000000,8860,871
Brazil,1976,112000000,9120,879
Brazil,1977,115000000,9390,913
Brazil,1978,118000000,9830,948
Brazil,1979,121000000,10500,943
Brazil,1980,124000000,9900,884
Brazil,1981,126000000,9790,878
Brazil,1982,129000000,9340,879
Brazil,1983,132000000,9690,915
Brazil,1984,135000000,10300,956
Brazil,1985,138000000,10900,980
Brazil,1986,141000000,11100,998
Brazil,1987,144000000,10900,993
Brazil,1988,146000000,11100,994
Brazil,1989,149000000,10500,941
Brazil,1990,152000000,10500,942
Brazil,1991,154000000,10300,936
Brazil,1992,157000000,10600,943
Brazil,1993,159000000,10900,977
Brazil,1994,162000000,11300,994
Brazil,1995,165000000,11300,1030
Brazil,1996,167000000,11500,1070
Brazil,1997,170000000,11400,1080
Brazil,1998,172000000,11300,1080
Brazil,1999,175000000,11600,1070
Brazil,2000,177000000,11600,1080
Brazil,2001,180000000,11800,1090
Brazil,2002,182000000,11800,1090
Brazil,2003,184000000,12300,1140
Brazil,2004,186000000,12600,1160
Brazil,2005,188000000,12900,1180
Brazil,2006,190000000,13600,1240
Brazil,2007,192000000,14100,1290
Brazil,2008,194000000,14000,1240
Brazil,2009,196000000,14900,1360
Brazil,2010,198000000,15300,1370
Brunei,1970,136000,84600,1310
Brunei,1971,142000,88800,1240
Brunei,1972,149000,92900,2320
Brunei,1973,155000,99000,3830
Brunei,1974,162000,95200,4580
Brunei,1975,168000,110000,5800
Brunei,1976,175000,117000,6040
Brunei,1977,181000,120000,5440
Brunei,1978,188000,142000,5470
Brunei,1979,194000,128000,6960
Brunei,1980,200000,99000,6500
Brunei,1981,206000,99700,6780
Brunei,1982,212000,97200,6960
Brunei,1983,218000,94800,7790
Brunei,1984,224000,90600,7940
Brunei,1985,231000,77900,6780
Brunei,1986,238000,75800,6760
Brunei,1987,244000,73300,5460
Brunei,1988,251000,72600,6160
Brunei,1989,259000,71200,6670
Brunei,1990,266000,71400,7340
Brunei,1991,274000,72700,7670
Brunei,1992,282000,70900,7180
Brunei,1993,289000,71200,6480
Brunei,1994,297000,72400,7560
Brunei,1995,305000,72700,7430
